GestureType,TrialNumber,Time,X_accl,Y_accl,Z_accl
G1,19,483,-0.36340534687042236,0.035656705498695374,1.0105990171432495
G1,19,586,-0.03467981144785881,0.1489766538143158,1.003760814666748
G1,19,688,-0.11185459792613983,0.1538611352443695,1.0154834985733032
G1,19,789,-0.16704924404621124,0.12260045856237411,0.9754307270050049
G1,19,890,-0.08108238130807877,0.14799976348876953,0.9695694446563721
G1,19,992,-0.08059392869472504,0.14995355904102325,1.0496748685836792
G1,19,1095,-0.09133978933095932,0.16411854326725006,1.1092655658721924
G1,20,51,0.3682898283004761,0.06154445558786392,0.9949687123298645
G1,20,152,0.8401306867599487,0.019049474969506264,1.161529541015625
G1,20,254,0.4269036054611206,-0.43716099858283997,0.979826807975769
G1,20,354,-1.2616612911224365,-0.08401306718587875,1.2333314418792725
G1,20,457,-0.5289892554283142,-0.05763687193393707,0.9788498878479004
G1,20,558,-0.035656705498695374,0.11234305053949356,0.981292188167572
G1,20,661,-0.06789427995681763,0.15776872634887695,0.9148632287979126
G1,20,763,-0.18561026453971863,0.117715984582901,1.0540709495544434
G1,20,864,-0.11478529125452042,0.12650804221630096,0.9490545392036438
G1,20,967,-0.19244854152202606,0.11527374386787415,1.0149950981140137
G2,0,21,-0.1709568202495575,0.06935962289571762,1.044790506362915
G2,0,121,-0.21589402854442596,0.09085133671760559,1.161041021347046
G2,0,224,-0.09915495663881302,0.09036289155483246,1.5552185773849487
G2,0,326,-0.527523934841156,-0.09329357743263245,-0.3311677873134613
G2,0,430,-0.08596685528755188,-0.10843546688556671,-0.6672200560569763
G2,0,532,0.5182433724403381,0.14213839173316956,-1.3803541660308838
G2,0,634,0.42153066396713257,-0.0893859937787056,-0.940262496471405
G2,0,737,-0.12211201339960098,-0.28769591450691223,1.2010937929153442
G2,0,838,0.17535284161567688,-0.06007910892367363,1.226493000984192
G2,0,940,0.16265320777893066,-0.01709568127989769,0.953450620174408
G2,0,1041,0.1944023221731186,-0.014164994470775127,1.0057145357131958
G2,0,1143,0.06300980597734451,-0.016118785366415977,1.1019388437271118
G2,0,1244,-0.014164994470775127,0.028329988941550255,1.1224536895751953
G2,0,1346,0.04298342764377594,0.04249498248100281,1.0316022634506226
G2,0,1449,0.02686464414000511,0.054706186056137085,0.9876419305801392
G2,0,1550,0.011234304867684841,0.07082497328519821,0.9593120217323303
